schedulertest,ticks0,aql0,mql0,rpt0,spt0,lg0,ticks1,aql1,mql1,rpt1,spt1,lg1,ticks2,aql2,mql2,rpt2,spt2,lg2,ticks3,aql3,mql3,rpt3,spt3,lg3,ticks4,aql4,mql4,rpt4,spt4,lg4,ticks5,aql5,mql5,rpt5,spt5,lg5,ticks6,aql6,mql6,rpt6,spt6,l76,ticks7,aql7,mql7,rpt7,spt7,lg7,aticks,sd,areducts,sd,asyncs,sd,mlg,agaps,sdg
clustercomm-erlam_sched_single10-1-2,2149,0,0,2073,73,27348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.625,710.714945935,259.125,685.58030848,9.125,24.1424807135,27348,3418.5,9044.50085687
clustercomm-erlam_sched_single20-3-2,6486,0,0,6358,125,67256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810.75,2145.04287545,794.75,2102.71085447,15.625,41.3398642354,67256,8407.0,22242.8312721
clustercomm-erlam_sched_single6-3-2,2238,0,0,2140,95,35234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.75,740.14892927,267.5,707.73847571,11.875,31.4182968189,35234,4404.25,11652.5502118
clustercomm-erlam_sched_single4-2-2,1082,0,0,1012,67,22182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.25,357.837864821,126.5,334.68754085,8.375,22.1581672302,22182,2772.75,7336.00694775
clustercomm-erlam_sched_single8-2-2,2456,0,0,2376,77,27874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.0,812.245652497,297.0,785.788139386,9.625,25.465356369,27874,3484.25,9218.45900558
clustercomm-erlam_sched_single10-5-2,5060,0,0,4922,135,75423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.5,1673.43770425,615.25,1627.79849413,16.875,44.6470533742,75423,9427.875,24943.8126418
clustercomm-erlam_sched_single6-2-2,1961,0,0,1879,79,26552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.125,648.539790125,234.875,621.420839186,9.875,26.1267941968,26552,3319.0,8781.24860142
clustercomm-erlam_sched_single6-1-2,1398,0,0,1331,64,20934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.75,462.345041609,166.375,440.186874378,8.0,21.1660104885,20934,2616.75,6923.26974323
clustercomm-erlam_sched_single20-6-2,10730,0,0,10544,183,117249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.25,3548.61394597,1318.0,3487.10022798,22.875,60.5215612406,117249,14656.125,38776.4619339
clustercomm-erlam_sched_single9-4-2,3949,0,0,3840,106,37810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.625,1306.00899092,480.0,1269.96062931,13.25,35.0562048716,37810,4726.25,12504.4821339
clustercomm-erlam_sched_single10-3-2,3416,0,0,3323,90,50877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.0,1129.73580982,415.375,1098.97895083,11.25,29.7647022495,50877,6359.625,16825.9861816
clustercomm-erlam_sched_single9-1-2,1848,0,0,1783,62,26703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.0,611.168552856,222.875,589.671823454,7.75,20.5045726608,26703,3337.875,8831.18715742
clustercomm-erlam_sched_single9-3-2,3303,0,0,3210,90,35659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.875,1092.36457256,401.25,1061.60771356,11.25,29.7647022495,35659,4457.375,11793.1057502
